,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12
1207,23.0799994841218,68.45999846979976,12.539999719709158,0.4699999894946813,1.5499999653548002,1.0599999763071537,47.4799989387393,0.1599999964237213,6.489999854937196,0.2099999953061342,1.3499999698251486,5.799999870359898
1208,22.63999949395657,70.65999842062593,12.73999971523881,0.0799999982118606,2.1699999514967203,0.9999999776482582,46.36999896354973,0.1499999966472387,6.469999855384231,0.1999999955296516,1.3299999702721834,5.899999868124723
1209,23.479999475181103,72.40999838151038,14.01999968662858,0.0999999977648258,1.5699999649077654,0.979999978095293,45.759998977184296,0.1699999962002039,6.469999855384231,0.2099999953061342,1.19999997317791,5.649999873712659
1210,26.18999941460788,73.24999836273491,16.83999962359667,0.0999999977648258,1.959999956190586,1.2399999722838402,45.05999899283052,0.1299999970942735,6.809999847784638,0.4399999901652336,1.1199999749660492,5.399999879300594
1211,29.5099993404001,73.38999835960567,21.22999952547252,0.1599999964237213,3.629999918863177,1.719999961555004,45.47999898344278,0.1199999973177909,7.219999838620424,0.189999995753169,1.3499999698251486,5.399999879300594
1212,33.479999251663685,74.08999834395945,28.4199993647635,0.0899999979883432,3.1199999302625656,1.1599999740719795,46.26999896578491,0.1199999973177909,6.959999844431877,0.1599999964237213,1.389999968931079,5.399999879300594
1213,35.0799992159009,74.12999834306538,40.07999910414219,0.2599999941885471,1.6799999624490738,1.0199999772012234,46.31999896466732,0.1099999975413084,6.509999854490161,0.1599999964237213,1.0799999758601189,5.239999882876873
1214,37.05999917164445,74.13999834284186,54.629998778924346,0.0899999979883432,1.3999999687075615,1.0599999763071537,46.5599989593029,0.1099999975413084,6.229999860748649,0.1499999966472387,0.959999978542328,4.949999889358878
1215,40.03999910503626,75.24999831803143,62.85999859496951,0.1199999973177909,1.3299999702721834,1.1199999749660492,46.879998952150345,0.0999999977648258,6.109999863430858,0.1499999966472387,0.9899999778717756,4.709999894723296
1216,39.11999912559986,77.9099982585758,64.02999856881797,0.0999999977648258,1.6699999626725912,1.179999973624945,46.97999894991517,0.0999999977648258,6.049999864771962,0.1399999968707561,1.0699999760836365,4.669999895617366
1217,36.42999918572605,79.27999822795391,66.06999852322042,0.069999998435378,1.8499999586492777,1.2299999725073576,46.96999895013869,0.0999999977648258,5.989999866113067,0.1399999968707561,1.099999975413084,4.899999890476465
